county_id,month_number,month_name,county,fahrenheit
57,4,April,Yolo,62.8
57,5,May,Yolo,63.4
57,6,June,Yolo,75.3
57,7,July,Yolo,76.2
57,8,August,Yolo,78
57,9,September,Yolo,71.8
57,10,October,Yolo,63.1
57,11,November,Yolo,55.9
57,12,December,Yolo,49.3
58,1,January,Yuba,48.5
58,2,February,Yuba,43.6
58,3,March,Yuba,50.9
58,4,April,Yuba,60.9
58,5,May,Yuba,61.9
58,6,June,Yuba,74.8
58,7,July,Yuba,77.3
58,8,August,Yuba,78
58,9,September,Yuba,70
58,10,October,Yuba,61
58,11,November,Yuba,55.5
58,12,December,Yuba,47.9
